Name,InstanceId
MWSWM09LU01,i-02bb2debf661a92e7
MWSWM09LU02,i-0d54f1b84dbc1026c
B2BWM09LU01,i-0f14dac9fe44e4f1d
B2BWM09LU02,i-0b842e2e871b341f9
A2AWM09LU01,i-0f180647aa0bf7a8f
A2AWM09LU02,i-06ccc1b7a8393f057
APIIWM09LU01,i-04a1ce4a446bc944b
APIEWM09LU01,i-0cfbc1b76662087d8
APIEWM09LU02,i-0fc9a98ae2635728a
REGWM09LU01,i-023090aa1108d75db
REGWM09LU02,i-04cb88b0ef0345cb5
TCSWM09LU01,i-04e4571459d7888a3
UMSWM09LU01,i-04597b7fc37cbd30d
UMSWM09LU02,i-04d21b492ed4f699f
UMSWM09LU03,i-09d26eec52a575c24
MWSWM09LQ01,i-006059c2e4304a15b
B2BWM09LQ01,i-08a7ce50ed4024c95
APIIWM09LQ01,i-0507abd1dcb65ffec
A2AWM09LD01,i-09ed8f4023925c410
MWSWM09LD01,i-09849159e62172882
B2BWM09LD01,i-0edd9ca808258badd
APIIWM09LD01,i-0605ddb6bac24a1c2
A2AWM09LD01,i-09ed8f4023925c410
